Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	11.9	0	12.0	0	5.8153	0	6.1110	0	9.65	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	12.9	0	13.0	0	5.8049	0	6.1113	0	9.64	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	13.9	0	14.0	0	5.7946	0	6.1115	0	9.64	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	14.9	0	15.0	0	5.7864	0	6.1114	0	9.63	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	15.8	0	16.0	0	5.7494	0	6.1105	0	9.63	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	16.8	0	17.0	0	5.7098	0	6.1096	0	9.62	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	17.8	0	18.0	0	5.6921	0	6.1096	0	9.59	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	18.8	0	19.0	0	5.6663	0	6.1090	0	9.57	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	19.8	0	20.0	0	5.5624	0	6.1059	0	9.51	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	20.8	0	21.0	0	5.4155	0	6.1012	0	9.46	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	21.8	0	22.0	0	5.2382	0	6.1008	0	9.44	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	22.8	0	23.0	0	4.9951	0	6.1049	0	9.47	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	23.8	0	24.0	0	4.9108	0	6.1116	0	9.48	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	24.8	0	25.0	0	4.8900	0	6.1153	0	9.44	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	25.8	0	26.0	0	4.8606	0	6.1222	0	9.36	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	26.7	0	27.0	0	4.8407	0	6.1316	0	9.32	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	27.7	0	28.0	0	4.7961	0	6.1474	0	9.27	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	28.7	0	29.0	0	4.7746	0	6.1548	0	9.24	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	29.7	0	30.0	0	4.7448	0	6.1734	0	9.30	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	1.0	0	1.0	0	5.1019	0	5.9633	0	10.16	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	2.0	0	2.0	0	5.1024	0	5.9635	0	10.17	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	3.0	0	3.0	0	5.1034	0	5.9635	0	10.17	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	4.0	0	4.0	0	5.1038	0	5.9634	0	10.17	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	5.0	0	5.0	0	5.1078	0	5.9631	0	10.16	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	5.9	0	6.0	0	5.1047	0	5.9636	0	10.16	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	6.9	0	7.0	0	5.1105	0	5.9626	0	10.16	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	7.9	0	8.0	0	5.1191	0	5.9616	0	10.16	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	8.9	0	9.0	0	5.0911	0	5.9617	0	10.15	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	9.9	0	10.0	0	5.0603	0	5.9635	0	10.14	0
34AR	0091	*	2012	5	10	5	33	21.7965	60.2288	32	0	10.9	0	11.0	0	5.0630	0	5.9640	0	10.11	0
